Frequency,G_off/G_on
20000000000.0,(0.878377015542118+0.47597828932717556j)
20002000000.0,(0.878004182381713+0.4763434022582882j)
20004000000.0,(0.8776415116438409+0.4767248977676923j)
20006000000.0,(0.8772890434663356+0.4771224983777882j)
20008000000.0,(0.8769468234203356+0.477535942191438j)
20010000000.0,(0.8766149024675367+0.4779649819129848j)
20012000000.0,(0.8762933369211137+0.4784093839373383j)
20014000000.0,(0.8759821884105439+0.47886892750126686j)
20016000000.0,(0.875681523850478+0.47934340389158975j)
20018000000.0,(0.8753914154137831+0.47983261570543784j)
20020000000.0,(0.8751119405088353+0.48033637615819974j)
20022000000.0,(0.8748431817611111+0.4808545084351554j)
20024000000.0,(0.8745852269990951+0.4813868450831469j)
20026000000.0,(0.8743381692445173+0.48193322743896333j)
20028000000.0,(0.8741021067068969+0.4824935050913881j)
20030000000.0,(0.8738771427823703+0.48306753537412456j)
20032000000.0,(0.8736633860567684+0.48365518288703685j)
20034000000.0,(0.873460950312894+0.4842563190433602j)
20036000000.0,(0.8732699545419481+0.4848708216407127j)
20038000000.0,(0.8730905229590513+0.485498574453926j)
20040000000.0,(0.8729227850227993+0.48613946684784404j)
20042000000.0,(0.8727668754587867+0.4867933934084019j)
20044000000.0,(0.8726229342870383+0.48746025359040457j)
20046000000.0,(0.8724911068532812+0.4881399513805488j)
20048000000.0,(0.8723715438639902+0.4888323949743315j)
20050000000.0,(0.87226440142514+0.4895374964655809j)
20052000000.0,(0.8721698410845977+0.4902551715474353j)
20054000000.0,(0.8720880298780895+0.49098533922366566j)
20056000000.0,(0.8720191403786691+0.4917279215293117j)
20058000000.0,(0.8719633507496314+0.492482843259665j)
20060000000.0,(0.871920844800793+0.49325003170668535j)
20062000000.0,(0.871891812048081+0.494029416401992j)
20064000000.0,(0.8718764477763573+0.4948209288656175j)
20066000000.0,(0.871874953105415+0.4956245023597534j)
20068000000.0,(0.8718875350590752+0.4964400716467556j)
20070000000.0,(0.8719144066373135+0.4972675727507081j)
20072000000.0,(0.8719557868913491+0.4981069427218852j)
20074000000.0,(0.872011901001622+0.49895811940346146j)
20076000000.0,(0.8720829803585797+0.4998210411998662j)
20078000000.0,(0.8721692626462028+0.5006956468461783j)
20080000000.0,(0.8722709919281842+0.5015818751779956j)
20082000000.0,(0.8723884187366762+0.5024796649012172j)
20084000000.0,(0.8725218001635241+0.5033889543611991j)
20086000000.0,(0.8726713999538903+0.5043096813107564j)
20088000000.0,(0.8728374886021679+0.5052417826764877j)
20090000000.0,(0.873020343450089+0.5061851943229232j)
20092000000.0,(0.8732202487869096+0.5071398508139874j)
20094000000.0,(0.8734374959515602+0.5081056851712918j)
20096000000.0,(0.8736723834366356+0.5090826286287568j)
20098000000.0,(0.873925216994094+0.5100706103830941j)
20100000000.0,(0.8741963097425205+0.5110695573396526j)
20102000000.0,(0.8744859822758033+0.5120793938531558j)
20104000000.0,(0.8747945627730648+0.5131000414628496j)
20106000000.0,(0.8751223871096657+0.5141314186215772j)
20108000000.0,(0.8754697989691024+0.5151734404183036j)
20110000000.0,(0.8758371499555895+0.5162260182936033j)
20112000000.0,(0.876224799707119+0.5172890597476251j)
20114000000.0,(0.8766331160087567+0.5183624680400473j)
20116000000.0,(0.8770624749059316+0.5194461418815252j)
20118000000.0,(0.877513260817452+0.5205399751161367j)
20120000000.0,(0.8779858666479534+0.5216438563943212j)
20122000000.0,(0.8784806938994806+0.5227576688358021j)
20124000000.0,(0.8789981527818606+0.523881289681984j)
20126000000.0,(0.879538662321525+0.5250145899372981j)
20128000000.0,(0.8801026504683868+0.5261574339989765j)
20130000000.0,(0.8806905542003756+0.5273096792747193j)
20132000000.0,(0.8813028196251834+0.5284711757877191j)
20134000000.0,(0.8819399020787614+0.5296417657685003j)
20136000000.0,(0.8826022662200577+0.5308212832330222j)
20138000000.0,(0.8832903861214669+0.532009553546492j)
20140000000.0,(0.8840047453544129+0.5332063929723306j)
20142000000.0,(0.8847458370694496+0.5344116082057265j)
20144000000.0,(0.8855141640702369+0.5356249958912119j)
20146000000.0,(0.8863102388806731+0.5368463421236918j)
20148000000.0,(0.8871345838044565+0.5380754219323537j)
20150000000.0,(0.8879877309762715+0.5393119987468913j)
20152000000.0,(0.8888702224037519+0.5405558238454664j)
20154000000.0,(0.889782609999327+0.5418066357838474j)
20156000000.0,(0.8907254556009805+0.5430641598051561j)
20158000000.0,(0.8916993309809126+0.5443281072296733j)
20160000000.0,(0.8927048178410127+0.5455981748241477j)
20162000000.0,(0.893742507793997+0.5468740441500781j)
20164000000.0,(0.894813002328988+0.5481553808904452j)
20166000000.0,(0.8959169127602394+0.5494418341543872j)
20168000000.0,(0.8970548601576374+0.5507330357593367j)
20170000000.0,(0.898227475257527+0.5520285994901618j)
20172000000.0,(0.8994353983523189+0.5533281203348777j)
20174000000.0,(0.9006792791572655+0.5546311736965374j)
20176000000.0,(0.9019597766526803+0.5559373145809386j)
20178000000.0,(0.9032775588997968+0.5572460767598412j)
