Frequency,G_off/G_on
20000000000.0,(0.8296841421852896+0.4935441827717047j)
20002000400.08002,(0.8298684828038474+0.4943365656952949j)
20004000800.16003,(0.8300593998863854+0.4951206943080041j)
20006001200.24005,(0.830256796196767+0.4958967744688275j)
20008001600.32007,(0.8304605795898897+0.49666500415901793j)
20010002000.40008,(0.8306706627824186+0.4974255738344674j)
20012002400.4801,(0.8308869631372483+0.4981786667581678j)
20014002800.56011,(0.8311094024607516+0.498924459314021j)
20016003200.64013,(0.8313379068119807+0.4996631213031723j)
20018003600.72014,(0.8315724063230182+0.5003948162239612j)
20020004000.80016,(0.8318128350297553+0.5011197015364969j)
20022004400.88018,(0.8320591307124219+0.5018379289128018j)
20024004800.96019,(0.8323112347452392+0.5025496444734j)
20026005201.04021,(0.8325690919546198+0.5032549890111552j)
20028005601.12022,(0.8328326504853709+0.5039540982031215j)
20030006001.20024,(0.8331018616744095+0.5046471028111106j)
20032006401.28025,(0.8333766799315144+0.5053341288716279j)
20034006801.36027,(0.8336570626266933+0.5060152978757902j)
20036007201.44029,(0.8339429699837576+0.5066907269398012j)
20038007601.52031,(0.834234364979732+0.5073605289665054j)
20040008001.60032,(0.8345312132497518+0.5080248127985302j)
20042008401.68034,(0.8348334829971216+0.5086836833634716j)
20044008801.76035,(0.8351411449082313+0.5093372418115601j)
20046009201.84037,(0.835454172072051+0.5099855856462149j)
20048009601.92038,(0.8357725399039345+0.5106288088478608j)
20050010002.0004,(0.8360962260734878+0.511267001991368j)
20052010402.08042,(0.8364252104362718+0.5119002523574454j)
20054010802.16043,(0.8367594749691196+0.5125286440382961j)
20056011202.24045,(0.8370990037088699+0.5131522580378327j)
20058011602.32047,(0.8374437826943236+0.5137711723667214j)
20060012002.40048,(0.8377937999112457+0.514385462132513j)
20062012402.4805,(0.8381490452402475+0.5149951996251009j)
20064012802.56051,(0.8385095104073874+0.5156004543977334j)
20066013202.64053,(0.8388751889373486+0.5162012933437902j)
20068013602.72054,(0.8392460761090522+0.5167977807695263j)
20070014002.80056,(0.8396221689135694+0.5173899784629609j)
20072014402.88058,(0.8400034660142227+0.5179779457590987j)
20074014802.96059,(0.8403899677087454+0.5185617396016415j)
