Frequency,G_off/G_on
20000000000.0,(0.8874293539214247+0.45387738695473895j)
20002000000.0,(0.8870569075582053+0.4542445982105182j)
20004000000.0,(0.8866985200807675+0.45462721977817344j)
20006000000.0,(0.8863541369212837+0.45502490826949626j)
20008000000.0,(0.8860237131036622+0.45543733760101435j)
20010000000.0,(0.8857072129468959+0.4558641978430472j)
20012000000.0,(0.8854046097880816+0.4563051941493806j)
20014000000.0,(0.885115885724045+0.45676004576053375j)
20016000000.0,(0.8848410313705662+0.45722848507425873j)
20018000000.0,(0.8845800456382437+0.4577102567775056j)
20020000000.0,(0.8843329355240969+0.45820511703461325j)
20022000000.0,(0.8840997159180444+0.4587128327269568j)
20024000000.0,(0.8838804094234533+0.4592331807397178j)
20026000000.0,(0.8836750461909912+0.4597659472918143j)
20028000000.0,(0.8834836637650644+0.4603109273053823j)
20030000000.0,(0.8833063069421565+0.460867923811499j)
20032000000.0,(0.8831430276404314+0.46143674738912727j)
20034000000.0,(0.8829938847799923+0.4620172156345037j)
20036000000.0,(0.8828589441732273+0.4626091526584253j)
20038000000.0,(0.8827382784247014+0.4632123886090912j)
20040000000.0,(0.8826319668400905+0.4638267592183433j)
20042000000.0,(0.8825400953436716+0.46445210536931675j)
20044000000.0,(0.8824627564039172+0.4650882726836621j)
20046000000.0,(0.8824000489667677+0.46573511112664095j)
20048000000.0,(0.8823520783961646+0.4663924746285178j)
20050000000.0,(0.8823189564214685+0.467060220720789j)
20052000000.0,(0.8823008010913863+0.4677382101858883j)
20054000000.0,(0.8822977367340562+0.46842630671910124j)
20056000000.0,(0.8823098939229669+0.4691243766015108j)
20058000000.0,(0.8823374094483737+0.46983228838286745j)
20060000000.0,(0.8823804262939221+0.47054991257334977j)
20062000000.0,(0.8824390936181694+0.4712771213432445j)
20064000000.0,(0.882513566740727+0.47201378822963297j)
20066000000.0,(0.882604007132749+0.4727597878492254j)
20068000000.0,(0.8827105824114923+0.473514995616524j)
20070000000.0,(0.8828334663386939+0.4742792874665529j)
20072000000.0,(0.8829728388225094+0.4750525395814195j)
20074000000.0,(0.8831288859227586+0.47583462812001154j)
20076000000.0,(0.8833017998592346+0.4766254289501748j)
20078000000.0,(0.8834917790228346+0.47742481738272896j)
20080000000.0,(0.8836990279892601+0.4782326679067241j)
20082000000.0,(0.8839237575350547+0.47904885392534746j)
20084000000.0,(0.8841661846557318+0.4798732474919302j)
20086000000.0,(0.8844265325857441+0.4807057190455031j)
20088000000.0,(0.8847050308200554+0.4815461371453862j)
20090000000.0,(0.8850019151370572+0.48239436820430176j)
20092000000.0,(0.8853174276225775+0.4832502762195212j)
20094000000.0,(0.8856518166947239+0.4841137225015647j)
20096000000.0,(0.8860053371292861+0.48498456539998624j)
20098000000.0,(0.8863782500854303+0.4858626600257912j)
20100000000.0,(0.8867708231313988+0.4867478579700349j)
20102000000.0,(0.8871833302699172+0.4876400070181657j)
20104000000.0,(0.8876160519630187+0.4885389508596848j)
20106000000.0,(0.8880692751559469+0.4894445287926944j)
20108000000.0,(0.8885432932998353+0.4903565754229238j)
20110000000.0,(0.8890384063727961+0.49127492035681675j)
20112000000.0,(0.889554920899077+0.4921993878882803j)
20114000000.0,(0.8900931499659015+0.4931297966786938j)
20116000000.0,(0.890653413237606+0.4940659594297838j)
20118000000.0,(0.8912360369666602+0.49500768254897637j)
20120000000.0,(0.891841354001136+0.4959547658068433j)
20122000000.0,(0.8924697037881801+0.49690700198626286j)
20124000000.0,(0.8931214323730067+0.49786417652292553j)
20126000000.0,(0.8937968923929114+0.498826067136811j)
20128000000.0,(0.8944964430657826+0.4997924434542821j)
20130000000.0,(0.8952204501725598+0.5007630666204412j)
20132000000.0,(0.8959692860330458+0.5017376889013985j)
20134000000.0,(0.8967433294744751+0.5027160532761152j)
20136000000.0,(0.8975429657921841+0.5036978930175021j)
20138000000.0,(0.8983685867017094+0.5046829312624402j)
20140000000.0,(0.8992205902816035+0.5056708805704292j)
20142000000.0,(0.9000993809062164+0.506661442470567j)
20144000000.0,(0.901005369167657+0.5076543069965795j)
20146000000.0,(0.9019389717861059+0.5086491522096425j)
20148000000.0,(0.9029006115076146+0.5096456437087461j)
20150000000.0,(0.9038907169884693+0.510643434128389j)
20152000000.0,(0.9049097226651777+0.5116421626233906j)
20154000000.0,(0.9059580686090547+0.5126414543406532j)
