Frequency,G_off/G_on
20000000000.0,(0.8933258532471462+0.445815968945235j)
20002000000.0,(0.8937180201951097+0.4455751087330953j)
20004000000.0,(0.8940968987590496+0.4453336513504658j)
20006000000.0,(0.8944627711997162+0.4450917864771111j)
20008000000.0,(0.8948159073740954+0.44484969812774483j)
20010000000.0,(0.8951565654969399+0.44460756512673877j)
20012000000.0,(0.895484992853873+0.44436556154614304j)
20014000000.0,(0.8958014264698576+0.44412385711030056j)
20016000000.0,(0.8961060937364984+0.44388261757000713j)
20018000000.0,(0.8963992130013425+0.4436420050488728j)
20020000000.0,(0.8966809941220878+0.44340217836428103j)
20022000000.0,(0.8969516389883698+0.4431632933251048j)
20024000000.0,(0.897211342013564+0.44292550300812933j)
20026000000.0,(0.8974602905988586+0.4426889580149475j)
20028000000.0,(0.897698665571666+0.44245380671091933j)
20030000000.0,(0.8979266416002705+0.44222019544764407j)
20032000000.0,(0.8981443875864684+0.4419882687702512j)
20034000000.0,(0.8983520670378189+0.4417581696106976j)
20036000000.0,(0.8985498384209949+0.44153003946815034j)
20038000000.0,(0.8987378554976106+0.44130401857743135j)
20040000000.0,(0.8989162676438053+0.44108024606641466j)
20042000000.0,(0.8990852201547538+0.44085886010318204j)
20044000000.0,(0.8992448545352046+0.4406399980336744j)
20046000000.0,(0.8993953087770488+0.44042379651050595j)
20048000000.0,(0.8995367176248622+0.44021039161355036j)
20050000000.0,(0.8996692128302943+0.43999991896285057j)
20052000000.0,(0.899792923396106+0.4397925138243594j)
20054000000.0,(0.8999079758106175+0.43958831120896497j)
20056000000.0,(0.9000144942732589+0.43938744596521984j)
20058000000.0,(0.9001126009118819+0.43919005286615476j)
20060000000.0,(0.9002024159924378+0.43899626669051606j)
20062000000.0,(0.9002840581215862+0.4388062222987443j)
20064000000.0,(0.90035764444277+0.43862005470397447j)
20066000000.0,(0.9004232908262464+0.4384378991383141j)
20068000000.0,(0.9004811120535354+0.43825989111463237j)
20070000000.0,(0.9005312219967235+0.43808616648406784j)
20072000000.0,(0.9005737337930193+0.4379168614894427j)
20074000000.0,(0.9006087600149489+0.43775211281475424j)
20076000000.0,(0.9006364128365358+0.43759205763088566j)
20078000000.0,(0.9006568041958116+0.4374368336376839j)
20080000000.0,(0.9006700459539531+0.4372865791025048j)
20082000000.0,(0.9006762500513545+0.4371414328953433j)
20084000000.0,(0.9006755286609005+0.4370015345206297j)
20086000000.0,(0.900667994338701+0.4368670241457711j)
20088000000.0,(0.9006537601725298+0.4367380426265005j)
20090000000.0,(0.9006329399281949+0.4366147315290916j)
20092000000.0,(0.9006056481940572+0.43649723314947547j)
20094000000.0,(0.9005720005238927+0.43638569052929577j)
20096000000.0,(0.9005321135782915+0.43628024746892247j)
20098000000.0,(0.9004861052647695+0.4361810485374396j)
20100000000.0,(0.9004340948767567+0.4360882390796106j)
20102000000.0,(0.9003762032316206+0.43600196521981743j)
20104000000.0,(0.9003125528078681+0.4359223738629643j)
20106000000.0,(0.9002432678816604+0.435849612692322j)
20108000000.0,(0.9001684746627721+0.43578383016429156j)
20110000000.0,(0.9000883014301065+0.4357251755000518j)
20112000000.0,(0.9000028786668816+0.43567379867404615j)
20114000000.0,(0.8999123391955846+0.43562985039926944j)
20116000000.0,(0.8998168183127873+0.4355934821092925j)
20118000000.0,(0.8997164539239122+0.4355648459369718j)
20120000000.0,(0.8996113866780228+0.4355440946897723j)
20122000000.0,(0.8995017601027042+0.4355313818216351j)
20124000000.0,(0.899387720739111+0.4355268614013111j)
20126000000.0,(0.899269418277216+0.4355306880770744j)
20128000000.0,(0.8991470056913289+0.4355430170377317j)
20130000000.0,(0.8990206393759088+0.435564003969826j)
20132000000.0,(0.8988904792817167+0.4355938050109411j)
20134000000.0,(0.8987566890523196+0.43563257669899663j)
20136000000.0,(0.8986194361609783+0.4356804759174255j)
20138000000.0,(0.898478892047922+0.43573765983611873j)
20140000000.0,(0.8983352322580088+0.4358042858480135j)
20142000000.0,(0.8981886365787815+0.4358805115012043j)
20144000000.0,(0.8980392891788853+0.43596649442644236j)
20146000000.0,(0.8978873787468485+0.4360623922598912j)
20148000000.0,(0.8977330986301798+0.43616836256099856j)
20150000000.0,(0.897576646974751+0.436284562725341j)
20152000000.0,(0.8974182268644225+0.43641114989229207j)
20154000000.0,(0.8972580464608476+0.4365482808473639j)
20156000000.0,(0.8970963191433969+0.4366961119190669j)
20158000000.0,(0.8969332636491262+0.4368547988701244j)
20160000000.0,(0.8967691042127044+0.4370244967828822j)
20162000000.0,(0.8966040707062048+0.43720535993874565j)
20164000000.0,(0.896438398778657+0.4373975416914749j)
20166000000.0,(0.8962723299952414+0.4376011943341639j)
20168000000.0,(0.8961061119760021+0.4378164689597309j)
20170000000.0,(0.8959399985339346+0.4380435153147397j)
20172000000.0,(0.8957742498122988+0.43828248164637296j)
20174000000.0,(0.8956091324209987+0.43853351454238065j)
20176000000.0,(0.8954449195718436+0.43879675876381274j)
20178000000.0,(0.8952818912125063+0.4390723570703593j)
20180000000.0,(0.8951203341589755+0.4393604500381111j)
20182000000.0,(0.8949605422262816+0.439661175869558j)
20184000000.0,(0.8948028163572623+0.4399746701956398j)
20186000000.0,(0.8946474647491274+0.4403010658696689j)
20188000000.0,(0.894494802977548+0.4406404927529412j)
20190000000.0,(0.8943451541180025+0.44099307749185973j)
20192000000.0,(0.8941988488640747+0.4413589432863934j)
20194000000.0,(0.8940562256423946+0.44173820964969635j)
20196000000.0,(0.8939176307238933+0.44213099215872503j)
20198000000.0,(0.8937834183310165+0.4425374021956848j)
20200000000.0,(0.89365395074054+0.4429575466801545j)
