Frequency,G_off/G_on
20000000000.0,(0.8619936028500215+0.5238009408345323j)
20002000000.0,(0.8624630562620783+0.523567789981165j)
20004000000.0,(0.8629186849594118+0.5233328025404115j)
20006000000.0,(0.8633607774362121+0.5230962068339833j)
20008000000.0,(0.8637896099456679+0.522858223784301j)
20010000000.0,(0.8642054472405537+0.5226190674904014j)
20012000000.0,(0.8646085432681628+0.5223789457600118j)
20014000000.0,(0.8649991418230493+0.5221380606016338j)
20016000000.0,(0.8653774771607652+0.5218966086800939j)
20018000000.0,(0.8657437745755091+0.521654781738682j)
20020000000.0,(0.8660982509443724+0.5214127669907007j)
20022000000.0,(0.8664411152406547+0.5211707474829714j)
20024000000.0,(0.8667725690185173+0.5209289024336012j)
20026000000.0,(0.8670928068710732+0.5206874075461083j)
20028000000.0,(0.8674020168638412+0.5204464353017927j)
20030000000.0,(0.867700380945349+0.5202061552320738j)
20032000000.0,(0.8679880753365277+0.5199667341723597j)
20034000000.0,(0.8682652709004175+0.5197283364988616j)
20036000000.0,(0.8685321334935988+0.5194911243496494j)
20038000000.0,(0.8687888243006422+0.5192552578311211j)
20040000000.0,(0.8690355001527843+0.5190208952109552j)
20042000000.0,(0.8692723138319545+0.5187881930985229j)
20044000000.0,(0.8694994143611824+0.5185573066136502j)
20046000000.0,(0.8697169472823547+0.5183283895445369j)
20048000000.0,(0.8699250549222137+0.5181015944955759j)
20050000000.0,(0.8701238766474294+0.5178770730257474j)
20052000000.0,(0.8703135491095241+0.5176549757782015j)
20054000000.0,(0.8704942064803647+0.5174354526015967j)
20056000000.0,(0.8706659806789014+0.5172186526637024j)
20058000000.0,(0.8708290015897743+0.5170047245577388j)
20060000000.0,(0.8709833972743782+0.5167938164018787j)
20062000000.0,(0.8711292941749252+0.5165860759323003j)
20064000000.0,(0.8712668173120259+0.5163816505901528j)
20066000000.0,(0.8713960904762563+0.5161806876027468j)
20068000000.0,(0.8715172364141642+0.5159833340592763j)
20070000000.0,(0.8716303770091294+0.5157897369813281j)
20072000000.0,(0.8717356334574762+0.5156000433884317j)
20074000000.0,(0.8718331264401953+0.5154144003588575j)
20076000000.0,(0.87192297629063+0.515232955085872j)
20078000000.0,(0.8720053031584423+0.5150558549296177j)
20080000000.0,(0.872080227170167+0.5148832474647866j)
20082000000.0,(0.8721478685866375+0.5147152805242224j)
20084000000.0,(0.8722083479575495+0.5145521022385815j)
20086000000.0,(0.872261786273414+0.5143938610721621j)
20088000000.0,(0.8723083051151392+0.5142407058550004j)
20090000000.0,(0.8723480268014588+0.5140927858113158j)
20092000000.0,(0.8723810745344177+0.5139502505843805j)
20094000000.0,(0.872407572543108+0.5138132502578663j)
20096000000.0,(0.8724276462258449+0.5136819353737275j)
20098000000.0,(0.8724414222909471+0.5135564569466482j)
20100000000.0,(0.8724490288962907+0.5134369664750906j)
20102000000.0,(0.872450595787782+0.5133236159489587j)
20104000000.0,(0.8724462544368969+0.5132165578538896j)
20106000000.0,(0.8724361381774143+0.5131159451721725j)
20108000000.0,(0.872420382341469+0.5130219313802911j)
20110000000.0,(0.872399124395039+0.5129346704430712j)
20112000000.0,(0.8723725040729758+0.512854316804417j)
20114000000.0,(0.872340663513672+0.5127810253745987j)
20116000000.0,(0.8723037473934591+0.5127149515140643j)
20118000000.0,(0.8722619030608222+0.5126562510137245j)
20120000000.0,(0.8722152806705+0.5126050800716647j)
20122000000.0,(0.8721640333175456+0.5125615952662274j)
20124000000.0,(0.8721083171714039+0.5125259535254024j)
20126000000.0,(0.8720482916100646+0.5124983120924544j)
20128000000.0,(0.8719841193543342+0.5124788284877193j)
20130000000.0,(0.8719159666022661+0.512467660466478j)
20132000000.0,(0.8718440031637873+0.5124649659728366j)
20134000000.0,(0.8717684025955413+0.5124709030895083j)
20136000000.0,(0.8716893423359678+0.5124856299834082j)
