#Parameters = {Hsub_bottom=0.101; Hpre1_2=0.306; Sigma_copper=58000000; C=4.48e-14; C_off=4.48e-14; C_on=0; H_add_decoupl=0.338; Hair=10; Hair_lower=10; Hpre1=0.204; Hsub1=0.508; Hsub_add1=0.168; Hsub_top2=0.762; L=0; L1=0.02; L2_buf=0.29; L_add_cut=0.66; L_off=0; L_on=1.3e-10; L_stub_low=1.5; Ldiode=0.3302; Lline_low=1; Lp=1.52; Px=5; R=2.5; R_bottom_in=0.83; R_bottom_out=0.93; R_off=2.5; R_on=5.2; W_ring_inner=0.15; WcircleInner_2=0.4; Wcut=0.9; Wp=1.52; X1Stub=-1.15; angle_stub=30; delta=0.3; deltaHAdd=0.101; deltaL1=0.14; deltaR2=0.15; deltaRCircle=0.2; deltaStubY=0.1; deltaStubY_top=0.3; delta_annual_ring=0.1; delta_edge=0.1; delta_via=0.9; delta_via_screen_center=0.25; h2_fr4=0.25; h2_prepreg=0.138; hSub=1.067; hfr4=0.102; l_add=0.76; phi=0; r_area=0.2; r_area_center=0.275; r_bottom_2=1.8; r_circle=0; r_out1=0; r_par=0.1; r_par_w=0.05; r_per=0.1; r_rez=0; r_road=0.05; r_shaped=1.15; r_shaped_2=1.2; r_shaped_low=1.2; r_via=0.1; r_via_center=0.175; r_via_wall=0.15; rad_circle=0.65; rez=0; t_pog=0; th=0.018; th2=0.204; th3=0.5; th_top=0.07; theta=0; wDiode=0.3048; w_add=0.1; wstub=0.2}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (1) [Re]"	"SZmax(1),Zmax(1) (1) [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#---------------------------------------------------------------------------------------------------------
22.000000000000	0.82697350667914	-0.14029214082169	376.73031346177	0.00000000000000
22.007000000000	0.82190849298987	-0.16145074470265	376.73031346177	0.00000000000000
22.014000000000	0.81630854876644	-0.18256956452944	376.73031346177	0.00000000000000
22.021000000000	0.81017191741870	-0.20362954653440	376.73031346177	0.00000000000000
22.028000000000	0.80349772373867	-0.22461141741196	376.73031346177	0.00000000000000
22.035000000000	0.79628599412884	-0.24549573437720	376.73031346177	0.00000000000000
22.042000000000	0.78853767346772	-0.26626293711474	376.73031346177	0.00000000000000
22.049000000000	0.78025463842362	-0.28689340135737	376.73031346177	0.00000000000000
22.056000000000	0.77143970705007	-0.30736749381344	376.73031346177	0.00000000000000
22.063000000000	0.76209664452175	-0.32766562814351	376.73031346177	0.00000000000000
22.070000000000	0.75223016489733	-0.34776832167119	376.73031346177	0.00000000000000
22.077000000000	0.74184592882501	-0.36765625249991	376.73031346177	0.00000000000000
22.084000000000	0.73095053713729	-0.38731031669777	376.73031346177	0.00000000000000
22.091000000000	0.71955152031392	-0.40671168520597	376.73031346177	0.00000000000000
22.098000000000	0.70765732382500	-0.42584186012290	376.73031346177	0.00000000000000
22.105000000000	0.69527728939923	-0.44468273001714	376.73031346177	0.00000000000000
22.112000000000	0.68242163229617	-0.46321662392577	376.73031346177	0.00000000000000
22.119000000000	0.66910141469392	-0.48142636370293	376.73031346177	0.00000000000000
22.126000000000	0.65532851533598	-0.49929531439392	376.73031346177	0.00000000000000
22.133000000000	0.64111559561151	-0.51680743232565	376.73031346177	0.00000000000000
22.140000000000	0.62647606227250	-0.53394731062131	376.73031346177	0.00000000000000
22.147000000000	0.61142402701826	-0.55070022186860	376.73031346177	0.00000000000000
22.154000000000	0.59597426320182	-0.56705215769439	376.73031346177	0.00000000000000
22.161000000000	0.58014215993532	-0.58298986502470	376.73031346177	0.00000000000000
22.168000000000	0.56394367388939	-0.59850087883711	376.73031346177	0.00000000000000
22.175000000000	0.54739527909771	-0.61357355124295	376.73031346177	0.00000000000000
22.182000000000	0.53051391508988	-0.62819707676719	376.73031346177	0.00000000000000
22.189000000000	0.51331693368430	-0.64236151372691	376.73031346177	0.00000000000000
22.196000000000	0.49582204477813	-0.65605780164084	376.73031346177	0.00000000000000
22.203000000000	0.47804726147296	-0.66927777463607	376.73031346177	0.00000000000000
22.210000000000	0.46001084487285	-0.68201417084941	376.73031346177	0.00000000000000
22.217000000000	0.44173124888651	-0.69426063785272	376.73031346177	0.00000000000000
22.224000000000	0.42322706535667	-0.70601173416213	376.73031346177	0.00000000000000
22.231000000000	0.40451696982864	-0.71726292691911	376.73031346177	0.00000000000000
22.238000000000	0.38561966825576	-0.72801058585921	376.73031346177	0.00000000000000
22.245000000000	0.36655384492292	-0.73825197370879	376.73031346177	0.00000000000000
22.252000000000	0.34733811185077	-0.74798523317282	376.73031346177	0.00000000000000
22.259000000000	0.32799095992221	-0.75720937069702	376.73031346177	0.00000000000000
22.266000000000	0.30853071195131	-0.76592423720537	376.73031346177	0.00000000000000
22.273000000000	0.28897547789088	-0.77413050602862	376.73031346177	0.00000000000000
22.280000000000	0.26934311235115	-0.78182964825182	376.73031346177	0.00000000000000
22.287000000000	0.24965117457751	-0.78902390571811	376.73031346177	0.00000000000000
22.294000000000	0.22991689100993	-0.79571626193275	376.73031346177	0.00000000000000
22.301000000000	0.21015712052269	-0.80191041111537	376.73031346177	0.00000000000000
22.308000000000	0.19038832241799	-0.80761072564993	376.73031346177	0.00000000000000
22.315000000000	0.17062652722408	-0.81282222218085	376.73031346177	0.00000000000000
22.322000000000	0.15088731032523	-0.81755052660077	376.73031346177	0.00000000000000
22.329000000000	0.13118576842945	-0.82180183817004	376.73031346177	0.00000000000000
22.336000000000	0.11153649885966	-0.82558289300094	376.73031346177	0.00000000000000
