#Parameters = {C=0; C_off=4.48e-14; C_on=0; H_add_decoupl=0.338; Hair=10; Hair_lower=10; Hpre1=0.204; Hpre1_2=0.306; Hsub1=0.508; Hsub_add1=0.168; Hsub_bottom=0.101; Hsub_top2=0.762; L=1.3e-10; L1=0.02; L2_buf=0.26; L_add_cut=0.66; L_off=0; L_on=1.3e-10; L_stub_low=1.5; Ldiode=0.3302; Lline_low=1; Lp=1.52; Period_wall=0.5; Px=5; R=5.2; R_bottom_in=0.86; R_bottom_out=0.96; R_inner_bottom_ring=0.96; R_off=2.5; R_on=5.2; R_out_bottom_ring=1.11; Sigma_copper=58000000; W_ring_inner=0.15; WcircleInner_2=0.4; Wcut=0.9; Wp=1.52; X1Stub=-1.15; angle_stub=30; delta=0.3; deltaHAdd=0.101; deltaL1=0.14; deltaR2=0.15; deltaRCircle=0.2; deltaStubY=0.1; deltaStubY_top=0.3; delta_annual_ring=0.1; delta_edge=0.1; delta_via=0.9; delta_via_screen_center=0.25; h2_fr4=0.25; h2_prepreg=0.138; hSub=1.067; hfr4=0.102; l_add=0.76; phi=0; r_area=0.2; r_area_center=0.225; r_bottom_2=1.8; r_circle=0; r_out1=0; r_par=0.1; r_par_w=0.05; r_per=0.1; r_rez=0; r_road=0.05; r_shaped=1.15; r_shaped_2=1.2; r_shaped_low=1.2; r_via=0.1; r_via_center=0.125; r_via_wall=0.1; rad_circle=0.65; rez=0; roughness=0.0028; t_pog=0; th=0.018; th2=0.204; th3=0.5; th_top=0.07; theta=30; wDiode=0.3048; w_add=0.1; wstub=0.2}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (theta=30) [Real/Imaginary Part] [Re]"	"SZmax(1),Zmax(1) (theta=30) [Real/Imaginary Part] [Im]"
#-----------------------------------------------------------------------------------------------------------------------------------
22.000000000000	0.43273888919523	0.78039689039537
22.007000000000	0.43699348394177	0.77752285764566
22.014000000000	0.44124492693662	0.77461595169636
22.021000000000	0.44549293042594	0.77167604429471
22.028000000000	0.44973720343366	0.76870300958002
22.035000000000	0.45397745176976	0.76569672414706
22.042000000000	0.45821337803957	0.76265706711005
22.049000000000	0.46244468165430	0.75958392016702
22.056000000000	0.46667105884265	0.75647716766453
22.063000000000	0.47089220266378	0.75333669666293
22.070000000000	0.47510780302136	0.75016239700185
22.077000000000	0.47931754667891	0.74695416136616
22.084000000000	0.48352111727648	0.74371188535220
22.091000000000	0.48771819534847	0.74043546753438
22.098000000000	0.49190845834290	0.73712480953202
22.105000000000	0.49609158064189	0.73377981607653
22.112000000000	0.50026723358356	0.73040039507874
22.119000000000	0.50443508548528	0.72698645769656
22.126000000000	0.50859480166822	0.72353791840278
22.133000000000	0.51274604448346	0.72005469505303
22.140000000000	0.51688847333934	0.71653670895391
22.147000000000	0.52102174473037	0.71298388493127
22.154000000000	0.52514551226757	0.70939615139848
22.161000000000	0.52925942671020	0.70577344042488
22.168000000000	0.53336313599910	0.70211568780416
22.175000000000	0.53745628529141	0.69842283312281
22.182000000000	0.54153851699691	0.69469481982852
22.189000000000	0.54560947081578	0.69093159529847
22.196000000000	0.54966878377804	0.68713311090760
22.203000000000	0.55371609028440	0.68329932209670
22.210000000000	0.55775102214880	0.67943018844036
22.217000000000	0.56177320864244	0.67552567371472
22.224000000000	0.56578227653950	0.67158574596497
22.231000000000	0.56977785016435	0.66761037757260
22.238000000000	0.57375955144046	0.66359954532235
22.245000000000	0.57772699994093	0.65955323046881
22.252000000000	0.58167981294055	0.65547141880261
22.259000000000	0.58561760546965	0.65135410071626
22.266000000000	0.58953999036946	0.64720127126947
22.273000000000	0.59344657834919	0.64301293025398
22.280000000000	0.59733697804478	0.63878908225789
22.287000000000	0.60121079607920	0.63452973672942
22.294000000000	0.60506763712458	0.63023490803992
22.301000000000	0.60890710396583	0.62590461554644
22.308000000000	0.61272879756603	0.62153888365340
22.315000000000	0.61653231713347	0.61713774187359
22.322000000000	0.62031726019031	0.61270122488842
22.329000000000	0.62408322264293	0.60822937260726
22.336000000000	0.62782979885394	0.60372223022598
22.343000000000	0.63155658171581	0.59917984828446
22.350000000000	0.63526316272617	0.59460228272329
22.357000000000	0.63894913206473	0.58998959493933
22.364000000000	0.64261407867186	0.58534185184024
22.371000000000	0.64625759032875	0.58065912589797
22.378000000000	0.64987925373920	0.57594149520102
22.385000000000	0.65347865461299	0.57118904350560
22.392000000000	0.65705537775086	0.56640186028545
22.399000000000	0.66060900713105	0.56158004078045
22.406000000000	0.66413912599734	0.55672368604389
22.413000000000	0.66764531694872	0.55183290298833
22.420000000000	0.67112716203050	0.54690780443008
22.427000000000	0.67458424282694	0.54194850913218
22.434000000000	0.67801614055536	0.53695514184586
22.441000000000	0.68142243616170	0.53192783335052
22.448000000000	0.68480271041749	0.52686672049197
22.455000000000	0.68815654401826	0.52177194621917
22.462000000000	0.69148351768327	0.51664365961914
22.469000000000	0.69478321225664	0.51148201595023
22.476000000000	0.69805520880976	0.50628717667353
22.483000000000	0.70129908874499	0.50105930948254
22.490000000000	0.70451443390066	0.49579858833088
22.497000000000	0.70770082665719	0.49050519345814
22.504000000000	0.71085785004449	0.48517931141374
22.511000000000	0.71398508785044	0.47982113507885
22.518000000000	0.71708212473052	0.47443086368619
22.525000000000	0.72014854631849	0.46900870283781
22.532000000000	0.72318393933806	0.46355486452072
22.539000000000	0.72618789171562	0.45806956712041
22.546000000000	0.72915999269384	0.45255303543209
22.553000000000	0.73209983294618	0.44700550066977
22.560000000000	0.73500700469229	0.44142720047302
22.567000000000	0.73788110181414	0.43581837891149
